import time: self [us] | cumulative | imported package
import time:       550 |        550 |   _io
import time:        41 |         41 |   marshal
import time:       218 |        218 |   posix
import time:       455 |       1263 | _frozen_importlib_external
import time:       490 |        490 |   time
import time:       264 |        753 | zipimport
import time:        76 |         76 |     _codecs
import time:       255 |        331 |   codecs
import time:      1033 |       1033 |   encodings.aliases
import time:      1097 |       2461 | encodings
import time:       400 |        400 | encodings.utf_8
import time:       101 |        101 | _signal
import time:        31 |         31 |     _abc
import time:       142 |        173 |   abc
import time:       357 |        529 | io
import time:        54 |         54 |       _stat
import time:        58 |        111 |     stat
import time:       605 |        605 |     _collections_abc
import time:       177 |        177 |       genericpath
import time:        57 |        234 |     posixpath
import time:       385 |       1334 |   os
import time:        47 |         47 |   _sitebuiltins
import time:       350 |        350 |         types
import time:       130 |        130 |           _operator
import time:       357 |        486 |         operator
import time:       276 |        276 |             itertools
import time:       268 |        268 |             keyword
import time:       299 |        299 |             reprlib
import time:        46 |         46 |             _collections
import time:       934 |       1821 |           collections
import time:        32 |         32 |           _functools
import time:      1827 |       3679 |         functools
import time:      1294 |       5808 |       enum
import time:       215 |        215 |         _sre
import time:       408 |        408 |           re._constants
import time:       339 |        747 |         re._parser
import time:       248 |        248 |         re._casefix
import time:       539 |       1748 |       re._compiler
import time:       273 |        273 |       copyreg
import time:       550 |       8377 |     re
import time:       828 |       9205 |   sitecustomize
import time:      1260 |      11844 | site
import time:       396 |        396 |   __future__
import time:       442 |        442 |     collections.abc
import time:       607 |        607 |     contextlib
import time:       390 |        390 |     warnings
import time:        31 |         31 |     _typing
import time:      2149 |       3616 |   typing
import time:       905 |        905 |         _ast
import time:      1138 |       2043 |       ast
import time:       648 |        648 |           _opcode
import time:       465 |       1113 |         opcode
import time:       831 |       1944 |       dis
import time:       304 |        304 |         importlib
import time:        65 |        369 |       importlib.machinery
import time:       275 |        275 |           token
import time:        22 |         22 |           _tokenize
import time:       858 |       1154 |         tokenize
import time:       252 |       1406 |       linecache
import time:       317 |        317 |         _weakrefset
import time:       617 |        933 |       weakref
import time:      2257 |       8949 |     inspect
import time:      1103 |       1103 |     _socket
import time:      1871 |      11922 |   typing_extensions
import time:       862 |        862 |           _datetime
import time:       216 |       1078 |         datetime
import time:      4302 |       4302 |                 pydantic_core._pydantic_core
import time:       374 |        374 |                       numbers
import time:      2792 |       3166 |                     _decimal
import time:       274 |       3439 |                   decimal
import time:       269 |        269 |                           concurrent
import time:      1454 |       1454 |                                 textwrap
import time:       635 |       2089 |                               traceback
import time:        24 |         24 |                                 _string
import time:       739 |        762 |                               string
import time:       684 |        684 |                               threading
import time:        26 |         26 |                               atexit
import time:      1580 |       5140 |                             logging
import time:       709 |       5848 |                           concurrent.futures._base
import time:       317 |       6433 |                         concurrent.futures
